slug,title,film_sim,subcluster,subcluster_label,text,text_len
my-fujifilm-x100v-kodachrome-64-film-simulation-recipe,Kodachrome 64,Classic Chrome,0,Classic Chrome#0,"Evening at a Pond – Farmington Bay, UT – Fujifilm X100V “Kodachrome 64” The Fujifilm X100V has some new features, including Clarity and Color Chrome Effect Blue, that my X-T30 doesn’t have, despite sharing the same sensor. The more JPEG options that I have, the more accurately I can create in-camera looks. My hope is to revisit some of my film simulation recipes , and create what I hope are more accurate versions using the new features. The first one that I revamped is my Kodachrome 64 film simulation recipe . Many people love my Kodachrome 64 recipe, but not everyone. The biggest complaint that I’ve heard about it is that the reds aren’t vibrant enough. I don’t disagree with that, but there are always compromises when recreating looks in-camera because the tools available to me are limited. Of course, what Kodachrome 64 looks like depends on how you’re viewing it, whether projector, light table, scan, print, and how so. You can find some vastly different looking pictures that were captured on Kodachrome 64. For this revamped recipe, I spent some time studying the Kodachrome slides that I captured many years ago. Red Lights & Rain – Farmington, UT – Fujifilm X100V “Kodachrome 64” While I feel that this is an improved Kodachrome 64 recipe, it’s still not perfect. Those who disliked how reds were rendered on the old recipe will certainly like this one better, but is it 100% exactly like the film? No. I think +2 Color might be too much, but +1 Color doesn’t render reds and yellows vibrant enough. If you prefer +1 Color, feel free to do that instead. There’s a little less contrast with this new version. Both of the Color Chrome Effects, the lower Dynamic Range setting, and Clarity add contrast, so I changed Highlight and Shadow to compensate. The X-T4 has .5 Highlight and Shadow adjustments, and I would set Shadow to +0.5 if I were using these settings on that camera (I hope that Fujifilm updates the X100V and X-Pro3 to allow this, too). I think it would be acceptable to use +1 Shadow, but I felt that was a tad too much, so I set it to 0. Despite not being perfect, I do feel that this version is a little more accurate to actual Kodachrome 64 film. If you have an X100V, X-Pro3 or X-T4, I invite you to try this new-and-improved Kodachrome 64 film simulation recipe. Be sure to let me know what you think! Here are a couple pictures comparing the two versions of this recipes: Original Kodachrome 64 recipe. Original Kodachrome 64 recipe. Classic Chrome Dynamic Range: DR200 Highlight: 0 Shadow: 0 Color: +2 Noise Reduction: -4 Sharpening: +1 Clarity: +3 Grain Effect: Weak, Small Color Chrome Effect: Strong Color Chrome Effect Blue: Weak White Balance: Daylight, +2 Red & -5 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: 0 to +2/3 (typically) Example photographs, all camera-made JPEGs using this new Kodachrome 64 film simulation recipe on my Fujifilm X100V: White Horse by a Stream – Farmington, UT – Fujifilm X100V Horses in the Grass – Farmington, UT – Fujifilm X100V Curious Horse – Farmington, UT – Fujifilm X100V Country Tires – Farmington, UT – Fujifilm X100V Yellow Flowers, Blue Sky – Farmington, UT – Fujifilm X100V Wishful Day – Farmington, UT – Fujifilm X100V Beer & Board – Farmington, UT – Fujifilm X100V Road Bicycling – Farmington, UT – Fujifilm X100V All the World’s a Sunny Day – Farmington, UT – Fujifilm X100V Orders & Pickup – Farmington, UT – Fujifilm X100V Red, White & Blue Day – Farmington, UT – Fujifilm X100V Flag Up Close – Farmington, UT – Fujifilm X100V Reeds by the Water – Farmington Bay, UT – Fujifilm X100V Evening Reeds – Farmington Bay, UT – Fujifilm X100V Landscape Flowers – Farmington, UT – Fujifilm X100V Handlebar – Farmington, UT – Fujifilm X100V Kodak Colors – Farmington, UT – Fujifilm X100V Half of an Orange – Farmington, UT – Fujifilm X100V Ground Beans – Farmington, UT – Fujifilm X100V Pallets – Centerville, UT – Fujifilm X100V IHOP – Centerville, UT – Fujifilm X100V Cupcake – Farmington, UT – Fujifilm X100V Sitting on Concrete – Farmington, UT – Fujifilm X100V Spring Snow – Farmington, UT – Fujifilm X100V This post contains affiliate links, and if you make a purchase using my links I’ll be compensated a small amount for it. Fujifilm X100V Black Amazon B&H Fujifilm X100V Silver Amazon B&H Nobody pays me to write the content found on fujixweekly.com. There's a real cost to operating and maintaining this site, not to mention all the time that I pour into it. If you appreciated this article, please consider making a one-time gift contribution. Thank you!",4557
fujifilm-x-e4-film-simulation-recipe-kodachrome-25,Kodachrome 25,Classic Chrome,0,Classic Chrome#0,"The Kodachrome name has been used for many different films over the years. The first Kodachrome product was a two-glass-plate color negative that was introduced in 1915. Like all other color photography methods of its time, the results weren’t particularly good and the product not especially successful. In 1935, Kodak released its next Kodachrome product: a positive color transparency film. This Kodachrome was the first film that produced reasonably accurate colors, and, because of that, was the first commercially successful color film. It became the standard film for color photography for a couple decades, and was even Ansel Adams’ preferred choice for color work. The December 1946 issue of Arizona Highways , which was the first all-color magazine in the world, featured Barry Goldwater’s Kodachrome images. While the most popular Kodachrome during this time was ISO 10, Kodak also produced an ISO 8 version, as well as a Tungsten option in the 1940s. Kodak made significant improvements to Kodachrome, and in 1961 released Kodachrome II. This film boasted more accurate colors, sharper images, finer grain, and a faster ISO of 25. While it was still somewhat similar to the previous Kodachrome, it was better in pretty much every way. A year later Kodachrome-X was introduced, which had an ISO of 64, and produced more saturation and increased contrast, but was grainier. In 1974, because Kodak created a less-toxic development process, Kodachrome II was replaced by Kodachrome 25 and Kodachrome-X was replaced by Kodachrome 64. This generation of Kodachrome is what most people think of when they picture (pun intended) the film, gracing the pages of magazines like National Geographic . Due to Kodachrome’s sharpness, grain, color, contrast, and archival characteristics, it was a great all-around option that worked well in most circumstance. Steve McCurry, who is perhaps the best-known photographer to extensively use this era of Kodachrome, said of the film, “It has almost a poetic look with beautiful colors that were vibrant and true to what you were shooting.” This film simulation recipe is intended to mimic Kodachrome 25 color transparency film. I was fortunate to shoot a few rolls of Kodachrome 25. It was a beautiful film, and probably the sharpest color film ever made, but its low ISO made it difficult to use. Kodachrome 64, which was still a low-ISO film, was about 1 2/3 stops faster. The major differences between the two Kodachrome emulsions is that the ISO 25 version was sharper and less grainy, while the ISO 64 version was more contrasty, vibrant and a hair warmer. Both were very similar, though, and it would be hard to spot the differences without a close inspection. Some people preferred the slightly more subtle tones and finer detail of Kodachrome 25, and some preferred the faintly punchier pictures rendered on Kodachrome 64. I liked Kodachrome 64 a little more, and so that’s what I most often used. Below are a couple examples of this Kodachrome 25 recipe compared to my Kodachrome 64 recipe : In the example below, I made massive crops so that you could more easily see the subtle differences in sharpness and grain between the two Kodachrome recipes. The differences in warmth are also more obvious. If the Kodachrome 25 recipe could have a .25 adjustment warmer, and if the Kodachrome 64 recipe could have a .25 adjustment cooler, it would likely be more accurate, but alas we’re limited by what Fujifilm gives us. In the case of this recipe, a Color Chrome FX Blue Medium would be a nice option, but it doesn’t exist. When Kodak discontinued Kodachrome in 2009, it shocked the photographic community; however, the deeper blow was that Kodak discontinued the chemicals required to develop it. Even if you had an old roll of the film (which I did), you couldn’t develop it, except as a black-and-white film from a specialty lab. By the end of 2010, the Kodachrome era was officially over for good. Fortunately, if you have a Fujifilm camera, the spirit of Kodachrome still lives. This Kodachrome 25 recipe is only compatible with the Fujifilm X-T4, X-S10, X-E4, and X-T30 II cameras. You can modify this for the X-Pro3 and X100V by setting Highlight to 0 and Shadow to -1 instead of what it calls for—I don’t like it quite as much, but it’s pretty similar. Classic Chrome Dynamic Range: DR400 Highlight: +0.5 Shadow: -0.5 Color: +1 Noise Reduction: -4 Sharpening: +3 Clarity: +3 Grain Effect: Off Color Chrome Effect: Strong Color Chrome Effect Blue: Strong White Balance: Daylight, +2 Red & -4 Blue ISO: Auto, up to ISO 1600 Exposure Compensation: 0 to +2/3 (typically) Example photographs, all camera-made JPEGs using this new Kodachrome 25 film simulation recipe on my Fujifilm X-E4 :",4739
fujifilm-x100v-film-simulation-recipe-kodachrome-1,Kodachrome 1,Classic Chrome,0,Classic Chrome#0,"Kodachrome They give us those nice bright colors They give us the greens of summer Makes you think all the world’s a sunny day Kodachrome is probably the most iconic photographic film ever made. It was legendary, and many people saw the world through its colors. Kodak produced Kodachrome film from 1935 through 2009, when it was suddenly discontinued. The Kodachrome name has been used for many different films over the years. The first Kodachrome product was a two-glass-plate color negative that was introduced in 1915. Like all other color photography methods of its time, the results weren’t particularly good and the product not especially successful. In 1935 Kodak released its next Kodachrome, which was a color transparency film with an ISO of 10. This Kodachrome was the first color film that produced reasonably accurate colors and was the first commercially successful color film. It became the standard film for color photography for a couple decades, and was even Ansel Adams’ preferred choice for color work. The December 1946 issue of Arizona Highways , which was the first all-color magazine in the world, featured Barry Goldwater’s Kodachrome images. Kodak made significant improvements to Kodachrome, and in 1961 released Kodachrome II . This film boasted more accurate colors, sharper images, finer grain, and a faster ISO of 25. While it was still similar to the previous Kodachrome, it was better in pretty much every way. A year later Kodachrome-X was introduced, which had an ISO of 64. Another generation of Kodachrome, which came out in 1974, saw Kodachrome II replaced by Kodachrome 25 and Kodachrome-X replaced by Kodachrome 64. The differences between this version and the previous weren’t huge with nearly identical image quality. The biggest change was going from the K-12 to the K-14 development process (which was a little less complex, but still complex). This generation of Kodachrome is what most people think of when they picture (pun intended) the film, gracing the pages of magazines like National Geographic . I personally have shot plenty of Kodachrome, mostly Kodachrome 64 . It was a good general use film that produced sharp images and pleasing colors. I haven’t used it in more than a decade. Its days are gone. Even if you can find an old roll of the film, there are no labs in the world that will develop it. This Kodachrome 1 film simulation recipe is meant to mimic that first era of Kodachrome. This isn’t your parent’s or grandparent’s Kodachrome, it’s your great-grandparent’s. This Kodachrome 1 recipe is actually an updated version of my Vintage Kodachrome recipe . Since the new Fujifilm cameras have more JPEG options, such as Clarity , Color Chrome Effect and Color Chrome Effect Blue , it’s possible to get more accurate or at least different looks out-of-camera. This recipe is very similar to the original version, but I hope this one is just a tad better. It’s only compatible with the X100V, X-Pro3 and X-T4 cameras; if you don’t have one of those cameras, give the Vintage Kodachrome recipe a try. Both the old and this new version have a great vintage analog look that I’m sure many of you will appreciate. I want to give a big “thank you” to Fuji X Weekly reader Thomas Schwab for his help with updating this recipe. Classic Chrome Dynamic Range: DR400 Highlight: +4 Shadow: -2 Color: +4 Noise Reduction: -4 Sharpening: -2 Clarity: +1 Grain Effect: Strong, Small Color Chrome Effect: Strong Color Chrome Effect Blue: Weak White Balance: Auto, +2 Red & -4 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: -1/3 to -1 (typically) Example photographs, all camera-made JPEGs using this Kodachrome 1 film simulation recipe on my Fujifilm X100V : See also: Film Simulation Recipes This post contains affiliate links, and if you make a purchase using my links I’ll be compensated a small amount for it. Fujifilm X100V Black Amazon B&H Fujifilm X100V Silver Amazon B&H Nobody pays me to write the content found on fujixweekly.com. There's a real cost to operating and maintaining this site, not to mention all the time that I pour into it. If you appreciated this article, please consider making a one-time gift contribution. Thank you!",4197
two-fujifilm-x-trans-iv-film-simulation-recipes-kodachrome-ii,Kodachrome II &Kodachrome II v2,Classic Chrome,2,Classic Chrome#2,"One of the more popular film simulation recipes that I’ve created is Kodachrome II , which was made for X-Trans III sensor cameras. While you can use that recipe on X-Trans IV cameras, the newer models have some JPEG options that the older ones don’t, so it can be fun to utilize those options to produce a different and hopefully better version of an old recipe. In this case, I have two new versions of Kodachrome II for X-Trans IV cameras. Kodak introduced Kodachrome in 1935, and in 1961 they replaced the original film with a new and improved version called Kodachrome II and a higher-ISO sibling called Kodachrome-X. These films had more accurate color, finer grain and faster ISOs (ISO 25 and 64, respectively, compared to ISO 10) than the previous version. It was a big leap forward for color photography, and so it is no surprise that the innovators of color photography in the 1960’s and 1970’s relied heavily on it. It’s also the version that Paul Simon sang, “They give us the greens of summer, makes you think all the world’s a sunny day.” Kodachrome II and Kodachrome-X produced a very similar look to each other. The main differences were in grain, contrast and saturation, but overall the variations were quite minor. Kodachrome-X was slightly more bold while Kodachrome II was slightly more clean. Even so, comparing slides, it’s tough to distinguish one from the other (conveniently, I have my grandparents old slides at my home). Even though I have named these two film simulation recipes “Kodachrome II” I think they more closely resembles Kodachrome-X film, but I find them to be a reasonable facsimile for both. Because of the toxic chemicals used in the development of this era of Kodachrome, plus the complexity of the process, Kodak changed from K-12 development to K-14 development, which ushered in new Kodachrome in 1974, called Kodachrome 25 and Kodachrome 64. This version of the film is the one that I have personally used. Interestingly enough, even though this version wasn’t all that much aesthetically different than the previous, there was a big outcry among photographers, and a large group who used Kodachrome II and Kodachrome-X did not appreciate the change. While I created the X-Trans III Kodachrome II recipe, it was Thomas Schwab who modified it for X-Trans IV. His version, entitled Kodachrome II , is compatible with the Fujifilm X-Pro3, X100V, X-T4, X-S10 and X-E4. In some of my example pictures below I used a Tiffen 1/4 Black Pro-Mist diffusion filter with my X100V. Why? Because I haven’t used this filter in awhile and wanted to. I don’t think it adds anything essential to the recipe. In fact, you might prefer the results without the filter. Thank you, Thomas, for creating and sharing this update to the original recipe!",2775
mccurry-kodachrome-a-fujifilm-x-trans-iv-film-simulation-recipe,McCurry Kodachrome,Classic Chrome,1,Classic Chrome#1,"I received an email from Anders Lindborg back in November, and the subject line read, “The Last Roll.” Anders explained to me that himself and John Sevigny had co-created a Kodachrome 64 Film Simulation Recipe based on Steve McCurry’s last roll of Kodachrome film, which was (as you likely know) famously developed on July 12, 2010, at Dwayne’s Photo in Parsons, Kansas.",370
kodak-vision3-250d-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Kodak Vision3 250D,Eterna,1,Eterna#1,"This is a long-overdue adaptation of the X-T3/X-T30 Kodak Vision3 250D Film Simulation Recipe for use on “newer” X-Trans IV cameras. Kodak Vision3 250D is one of my favorite Recipes, but it’s only compatible with the Fujifilm X-T3 and X-T30; however, I’ve been using it on my X100V and X-E4 occasionally for years. It’s not hard to adapt X-T3/X-T30 or X-Trans III Recipes for use on newer models by simply selecting a Grain size (Small or Large), setting Color Chrome FX Blue (and Color Chrome Effect for X-Trans III Recipes) to Off, and Clarity to 0. In the case of this Recipe, I prefer Clarity set to -2 and not 0, but it’s acceptable either way. Vision3 250D is a medium-speed daylight-balanced color motion picture film introduced by Kodak in 2009. It was a replacement for the similar (yet slightly inferior) Vision2 250D . Vison3 250D can be developed in ECN-2 chemistry or C-41. There is a lot of variation in how the film can look depending on a host of factors—especially how shot, developed, and scanned—but I’ve always been impressed with how closely this Recipe mimics some of the aesthetics produces by the emulsion. This Kodak Vision3 250D Film Simulation Recipe is compatible with the Fujifilm X-Pro3, X100V, X-T4, X-S10, X-E4, and X-T30 II cameras. For fifth-generation models, which are the X-H2s, X-H2, X-T5, and X-S20 ( yes, the X-S20 !), you can use this Recipe, but blue will render more deeply , so it will look slightly different. Example photographs, all camera-made JPEGs captured using this Kodak Vision3 250D Film Simulation Recipe on my Fujifilm X-E4 :",1581
kodak-portra-160-fujifilm-x100v-x-trans-iv-film-simulation-recipe,Kodak Portra 160,Classic Chrome,0,Classic Chrome#0,"Kodak introduced the Portra line in 1998, with two ISO 160 versions, two ISO 400 versions, and an ISO 800 emulsion (plus a short-lived ISO 100 Tungsten film, for those keeping score). Portra saw a couple of updates by Kodak, and in late-2010 the two ISO 160 versions were merged into one, as well as the two ISO 400 versions. The film has become iconic, with its warm yet natural colors. As the name implies, it was meant for portrait photography, but is popular for many genres. Originally, Kodak Portra 160 came in “NC” (neutral color) and “VC” (vivid color) versions; Portra 160 NC was more popular for portraits and Portra 160 VC was more popular for landscapes. When Kodak merged the two, it fell kind of in-between the two emulsions—more vibrant than NC but less than VC. This Film Simulation Recipe is intended to mimic the merged Portra 160 that Kodak introduced in 2010. I already have a Kodak Portra 160 Recipe that is compatible with X-Trans III cameras plus the X-T3 and X-T30, but not one for newer models. This update is long overdue, and I’m thrilled to finally publish it. Instead of simply making a quick adjustment to the “old” Recipe, I started from scratch. While the results are still very similar, it’s a significant redesign, and (hopefully) it’s just a tad better. This Recipe pairs really well with diffusion filters; for the California pictures in this article I used a 10% CineBloom filter, and for the Arizona pictures I used a mix of a 5% CineBloom and no diffusion filter at all. I did not adjust Clarity when using the diffusion filters. This Kodak Portra 160 Film Simulation Recipe is compatible with the Fujifilm X-Pro3, X100V, X-T4, X-S10, X-E4, and X-T30 II cameras. For fifth generation X-Trans models, which are the X-H2s, X-H2, X-T5, and X-S20 , set Color Chrome FX Blue to Weak instead of Strong. This Recipe will also work on newer GFX cameras, but the results will likely be slightly different. Example photographs, all camera-made JPEGs captured using this Kodak Portra 160 Film Simulation Recipe on my Fujifilm X100V :",2061
fujifilm-x100v-film-simulation-kodak-portra-400,Kodak Portra 400,Classic Chrome,0,Classic Chrome#0,"Bridge Over Stream – Layton, UT – Fujifilm X100V – “Kodak Portra 400” This is a brand-new version of my X-T30 Kodak Portra 400 film simulation recipe , designed specifically for the Fujifilm X100V, X-Pro3 and X-T4. My “old” recipe isn’t, in fact, old, as I published it only one month ago, but already I have improved on it, thanks to Fujifilm’s new tools, and also thanks to Fuji X Weekly reader Thomas Schwab , who helped tremendously refine the recipe to be more accurate to actual Portra 400 film. You see, he captured some pictures with Portra 400 film and made some identical pictures with his X-Pro3. After a few small changes, this new recipe emerged. It’s very similar to the X-T30 Portra 400 recipe, the differences aren’t huge, but it is subtly better in my opinion. Portra 400 was introduced by Kodak in 1998, and was redesigned in 2006 and again in 2010. As the name implies, it’s intended for portrait photography, but can be used for many other types of photography. It’s similar to Portra 160, but with more contrast, saturation and grain. Believe it or not, ISO 400 was considered “high ISO” by many photographers back in the film days, and Portra 400 was one of the absolute best “high ISO” color films ever made. Like all films, results can vary greatly depending on how it’s shot, developed and printed or scanned, and even which version of the film you’re talking about. Backlit Forest Leaves – Layton, UT – Fujifilm X100V – “Kodak Portra 400” This new Portra 400 film simulation recipe requires the use of Clarity , which slows down the camera considerably. Fujifilm suggests shooting RAW and adding Clarity later, but I just use the pause to slow myself down. The use of Clarity also means that this recipe can’t be used on “older” cameras, only the X100V, X-Pro3 and X-T4 (as of this writing), but feel free to apply the white balance shift of this recipe to the X-T30 version and see if you like it better. Classic Chrome Dynamic Range: DR-Auto Highlight: -1 Shadow: -2 Color: +2 Noise Reduction: -4 Sharpening: -2 Clarity: +2 Grain Effect: Strong, Small Color Chrome Effect: Strong Color Chrome Effect Blue: Weak White Balance: Daylight, +3 Red & -5 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: +1/3 to +1 (typically) Example photographs, all camera-made JPEGs using this new Kodak Portra 400 film simulation recipe on my Fujifilm X100V: Light Green Leaves – Layton, UT – Fujifilm X100V Sunlight In The Tree – Layton, UT – Fujifilm X100V Forest – Layton, UT – Fujifilm X100V Creek Through The Trees – Layton, UT – Fujifilm X100V Light on the Water – Layton, UT – Fujifilm X100V Creek – Layton, UT – Fujifilm X100V Big Green Leaf – Layton, UT – Fujifilm X100V Sunshine & Tree Leaves – Farmington, UT – Fujifilm X100V Sunlit – Farmington, UT – Fujifilm X100V Stone & Blooms – Layton, UT – Fujifilm X100V Jo Swinging – Layton, UT – Fujifilm X100V Brother & Sister Driving – Farmington, UT – Fujifilm X100V Protect & Serve – Farmington, UT – Fujifilm X100V Seagull on a Lamp – Farmington, UT – Fujifilm X100V Stormy Reeds – Farmington, UT – Fujifilm X100V See also: Film Simulation Recipes This post contains affiliate links, and if you make a purchase using my links I’ll be compensated a small amount for it. Fujifilm X100V Black Amazon B&H Fujifilm X100V Silver Amazon B&H Nobody pays me to write the content found on fujixweekly.com. There's a real cost to operating and maintaining this site, not to mention all the time that I pour into it. If you appreciated this article, please consider making a one-time gift contribution. Thank you!",3574
fujifilm-x100v-film-simulation-recipe-kodak-portra-400-v2,Kodak Portra 400 v2,Classic Chrome,0,Classic Chrome#0,"One film can have many different looks depending on how it’s shot, developed, scanned or printed. This new Portra 400 film simulation recipe, called Kodak Portra 400 v2, is an alternative aesthetic, created by studying examples of actual Portra 400 film (thanks to Julien Jarry ). The “other” Fujifilm X100V Kodak Portra 400 recipe was also created by studying examples of actual film (thanks to Thomas Schwab ). They’re both good options for achieving a Portra look, and neither is more “right” than the other.",511
fujifilm-x-trans-iv-film-simulation-recipe-kodak-portra-400-warm,Kodak Portra 400 Warm,Classic Chrome,0,Classic Chrome#0,"This Kodak Portra 400 Warm recipe came about after the Kyle McDougall Portra-Style comparison article . These settings are an attempt to get closer to Kyle’s preset aesthetic. Some film simulation recipes are good for everyday use, while some are good only in the right situations. This is one falls into the latter category, I think. This recipe isn’t for everyone or every situation, but for some people in the right situations, this recipe will be greatly loved! I think it looks best in sunny daylight, but can produce interesting results occasionally in other lighting situations, too. Thank you to Ryan for helping out with this! One film can have many different looks depending on how it’s shot, developed, and scanned or printed. This Kodak Portra 400 Warm film simulation recipe is an alternative aesthetic. Portra 400 was introduced by Kodak in 1998, and was redesigned in 2006 and again in 2010. As the name implies, it’s intended for portrait photography, but can be used for many other types of photography. It’s similar to Portra 160, but with more contrast, saturation and grain. Believe it or not, ISO 400 was considered “high ISO” by many photographers back in the film days, and Portra 400 was one of the absolute best “high ISO” color films ever made.",1270
